"terminal_id","terminal_address","terminal_ipv4","os_version"
"t001","app",,
"t002","web",,
"t003","Simpson's House","253.38.98.5","Fedora 33"
"t004","The Power Plant","3.187.134.15","macOS 11.0"
"t005","The Power Plant","4.170.70.207","Android 11"
"t006","Simpson's House","96.89.2.163","Fedora 34"
"t007","The Itchy & Scratchy Store","37.37.68.24","Red Hat 9"
"t008","Krusty Burger","60.117.249.172","iOS 16"
"t009","Mr. Burns' Mansion","74.159.174.162","Fedora 30"
"t010","Mr. Burns' Mansion","226.8.181.128","CentOS 8"
"t011","Moe's Tavern","120.184.190.70","CentOS 8"
"t012","Springfield Nuclear Power Plant","229.168.222.92","iOS 16"
"t013","Moe's Tavern","58.133.109.169","Windows 7"
"t014","The Android's Dungeon","145.208.221.215","Arch Linux Rolling"
"t015","Squishee Shop","211.102.219.37","Red Hat 9"
"t016","Squishee Shop","219.250.244.57","Android 13"
"t017","The Itchy & Scratchy Store","123.30.231.109","macOS 10.15"
"t018","The Power Plant","146.193.148.207","Windows 11"
"t019","The Shelbyville Nuclear Power Plant","180.115.30.166","macOS 10.15"
"t020","Mr. Burns' Mansion","39.152.192.10","macOS 10.15"
"t021","Kwik-E-Mart","189.15.154.204","Arch Linux Rolling"
"t022","The Quick-E-Store","227.105.19.158","Red Hat 8"
